,id,name,host_id,neighbourhood_group_cleansed,zipcode,latitude,longitude,room_type,bedrooms,square_feet,price,number_of_reviews,review_scores_rating,accommodates,bathrooms,beds,host_total_listings_count
180,15203608,Sunny East Village Duplex w/Private Roof Deck,49548947,Manhattan,10009,40.72698472848934,-73.98148800497177,Private room,1.0,,120.0,10,96.0,2,1.0,1.0,1.0
182,5373196,Luxury spacious appartment - heart of Manhattan,19831470,Manhattan,10019,40.76582546525209,-73.9922748663362,Entire home/apt,3.0,,680.0,1,,6,2.0,4.0,1.0
183,14439638,Great 1 BDR in Upper East Side,1825030,Manhattan,10021,40.77079545901538,-73.9541605270487,Private room,1.0,,87.0,3,100.0,2,1.0,1.0,1.0
186,261344,ArtHouse in Historic Downtown NYC:),568103,Manhattan,10004,40.70522681496255,-74.01345472545654,Private room,1.0,,75.0,38,94.0,2,1.5,1.0,1.0
191,9436311,Location Location Location!!!!,4284267,Manhattan,10036,40.75731797291365,-73.98276331442625,Private room,1.0,,165.0,46,95.0,3,1.0,2.0,1.0
196,261259,Apartment in Best location in NYC,1370358,Manhattan,10014,40.72952755212265,-74.00461711080986,Entire home/apt,1.0,,145.0,11,91.0,2,,1.0,1.0
197,10878090,BIG 1BR Chelsea Apt + Balcony,2163070,Manhattan,10011,40.74803845041253,-74.0030555595896,Entire home/apt,1.0,,225.0,17,96.0,2,1.0,1.0,1.0
199,12713090,West Village Apartment,23919461,Manhattan,10014,40.733985597336456,-74.00548933795169,Entire home/apt,2.0,,300.0,3,100.0,6,1.0,2.0,1.0
200,6552692,East Village Apt Next To Cool Cafes,6875420,Manhattan,10009,40.72499066539465,-73.974668846865,Private room,1.0,,94.0,48,90.0,2,1.0,1.0,1.0
204,9960561,Beautiful 1 BR apt. by Central Park,50556043,Manhattan,10024,40.783247207411655,-73.97232266275778,Entire home/apt,1.0,,195.0,21,91.0,3,1.0,1.0,1.0
205,2882666,Large clean 1Br 2 stops from TiMESQ,6964353,Manhattan,10025,40.799723974522855,-73.96417675841953,Entire home/apt,1.0,,110.0,6,76.0,2,1.0,1.0,1.0
206,8125552,STUNNING DUBLEX WITH PRIVATE GARDEN IN HARLEM,1197113,Manhattan,10030,40.81545648791927,-73.94670581304331,Entire home/apt,1.0,,275.0,0,,4,1.5,1.0,1.0
208,12188768,Midtown 2 Bdrm by 5th Ave,8439959,Manhattan,10019,40.765928726200926,-73.97826667954304,Entire home/apt,2.0,,299.0,22,86.0,6,1.0,3.0,1.0
209,392260,Midtown Manhattan Sweet 1BR apt,1961411,Manhattan,10017,40.75563960695899,-73.9663956310938,Entire home/apt,1.0,,109.0,87,88.0,4,1.0,3.0,1.0
210,2489407,Peaceful Bed w Breakfast - Manhattan,3562864,Manhattan,10028,40.77194449519729,-73.94772518145112,Private room,1.0,,92.0,82,95.0,1,1.0,1.0,1.0
211,1309794,VIP! private REAL luxury+ POOL,6123004,Manhattan,10025,40.7938722909734,-73.96636050855905,Entire home/apt,1.0,,299.0,0,,4,1.0,2.0,1.0
212,14548062,Cozy 1 bedroom in East Village,33923905,Manhattan,10009,40.72772540079704,-73.97638753872933,Entire home/apt,1.0,,240.0,0,,3,1.0,2.0,1.0
215,3888752,"Bright, quiet, cozy 1BR by C Park!",20116872,Manhattan,10023,40.77571247684042,-73.97756689651536,Entire home/apt,0.0,,175.0,185,97.0,2,1.0,1.0,1.0
216,12844102,Spacious East Village Hideout!,57791424,Manhattan,10009,40.7305568537044,-73.9811272602283,Entire home/apt,2.0,,149.0,0,,3,1.0,1.0,1.0
217,916514,1 Bedroom in 2 Bedroom apt in HK,4920078,Manhattan,10036,40.76018935902432,-73.98865944806764,Private room,1.0,,150.0,59,94.0,1,1.0,1.0,1.0
219,1965103,Quiet and Sunny studio in EV,10150931,Manhattan,10003,40.72811042117848,-73.98663174425269,Entire home/apt,0.0,400.0,170.0,7,80.0,4,1.0,1.0,1.0
221,13892662,Private Bedroom & Bathroom in NYC,5721408,Manhattan,10010,40.736445826814496,-73.9833127213153,Private room,1.0,,95.0,4,100.0,2,1.0,1.0,1.0
222,1309707,Great 1 Bedroom in Central Location,4304342,Manhattan,10003,40.73178803326623,-73.98702192324062,Entire home/apt,1.0,,150.0,33,91.0,2,1.0,1.0,1.0
223,14416917,"BEST DEAL, PERFECT LOCATION in Downtown, Manhattan",88699209,Manhattan,10003,40.73073054797849,-73.99368582301959,Private room,1.0,,69.0,1,100.0,2,1.0,1.0,1.0
226,16120840,Luxurious studio - West 57th Street Club by Hilton,8572778,Manhattan,10019,40.764091214035616,-73.97910428745018,Entire home/apt,0.0,,300.0,0,,2,1.0,1.0,2.0
227,11402245,New York City Apartment,33329898,Manhattan,10031,40.81981951307511,-73.95439752874913,Private room,1.0,,36.0,4,75.0,2,1.0,1.0,1.0
228,1702916,Duplex in Manhattan (78th East),8990349,Manhattan,10075,40.77194244675268,-73.956003102844,Entire home/apt,2.0,,245.0,9,95.0,4,1.5,3.0,1.0
231,12188651,Spacious home in heart of NYC,6997786,Manhattan,10011,40.74369199018589,-73.99571036495288,Entire home/apt,1.0,,225.0,5,92.0,4,1.0,2.0,1.0
233,8554425,14th St 1BR,45029559,Manhattan,10014,40.74067927021748,-74.00279141358126,Entire home/apt,1.0,,250.0,1,100.0,1,1.0,1.0,1.0
240,548056,Entire Studio Apt. in East Village,2694038,Manhattan,10003,40.729026041655686,-73.98419870384531,Entire home/apt,1.0,,189.0,217,92.0,2,1.0,1.0,1.0
242,15359284,"Charming, sun-filled room, centrally located in WV",11068312,Manhattan,10014,40.73377641601969,-73.99953526964417,Private room,1.0,,110.0,1,100.0,2,1.0,1.0,1.0
247,4220151,Clean/Quiet flat w washer/dryer,21903562,Manhattan,10011,40.74588028735776,-74.00055098851419,Entire home/apt,0.0,,174.0,100,86.0,4,1.0,2.0,1.0
249,5266717,2BR Luxury Suite in Prime Location,7389223,Manhattan,10019,40.7656787894826,-73.98206710773222,Entire home/apt,2.0,,699.0,0,,4,2.0,2.0,1.0
250,13786392,1br between TSQ and MSG,80978619,Manhattan,10018,40.753692328421785,-73.99247346601862,Entire home/apt,1.0,,130.0,7,87.0,4,1.0,2.0,1.0
251,16145687,Spacious 2 room apartment,105359839,Manhattan,10027,40.81093133658803,-73.95847073010006,Entire home/apt,2.0,,150.0,0,,5,1.0,2.0,1.0
254,11691284,1 BD available in 2BD apartment UES,661190,Manhattan,10128,40.782346612524265,-73.94555496016716,Private room,1.0,,140.0,0,,1,1.0,1.0,1.0
255,15359246,Cozy 1 BR in east village!,19197276,Manhattan,10009,40.72693823448537,-73.98289800036426,Private room,1.0,,80.0,10,100.0,1,1.0,1.0,1.0
256,13262082,Private BR in sunny East Village 2BR,18056150,Manhattan,10003,40.72953913885055,-73.98842473806666,Private room,1.0,,100.0,1,100.0,2,1.0,1.0,1.0
257,10116351,"Large 1,000 SF UES Apt w/ Balcony",8869875,Manhattan,10065,40.76426968093903,-73.96200327838339,Entire home/apt,1.0,,95.0,5,96.0,4,1.0,2.0,1.0
259,15883517,One Bedroom in a big apartement on Manhattan,12235420,Manhattan,10029,40.78667331138649,-73.9434170851013,Private room,1.0,,65.0,0,,2,1.5,1.0,1.0
261,6541532,Amazing UWS /Central Park West,33975302,Manhattan,10025,40.79909354163207,-73.96020175770133,Private room,1.0,,70.0,57,89.0,2,1.0,2.0,1.0
262,4218098,1 bedroom apt CentralPark-Columbia,21892444,Manhattan,10027,40.806525964474794,-73.95193601272402,Entire home/apt,1.0,,130.0,4,95.0,2,1.0,1.0,1.0
263,10902743,Sunny Studio in NYC,56498767,Manhattan,10001,40.748105343952496,-73.98698520650666,Entire home/apt,0.0,,70.0,35,76.0,4,1.0,2.0,1.0
264,9921774,Roosevelt Island One Bedroom,12191551,Manhattan,10044,40.761309552176606,-73.9505952996197,Private room,1.0,,42.0,0,,1,1.0,1.0,1.0
